metric,direction,approach,history,history_frames,n_complete_bags,test_performed,qwen_median_original,internvl_median_original,llava_median_original,qwen_median_oriented,internvl_median_oriented,llava_median_oriented,best_median_model,friedman_chi2,degrees_of_freedom,raw_p,kendalls_w,holm_p,significant_holm
pcs,higher positive correctness correlation is better,appod,H18,18,23,True,0.2784938476024822,-0.1508436193077714,0.08963200205195285,0.2784938476024822,-0.1508436193077714,0.08963200205195285,qwen,28.434782608695627,2,6.690605288207315e-07,0.6181474480151223,9.36684740349024e-06,True
pcs,higher positive correctness correlation is better,appod,H20,20,23,True,0.27815580965782827,-0.1567176359407072,0.08247130273476991,0.27815580965782827,-0.1567176359407072,0.08247130273476991,qwen,33.13043478260869,2,6.39466054717165e-08,0.7202268431001889,9.591990820757475e-07,True
pcs,higher positive correctness correlation is better,appod,H22,22,23,True,0.3031389231793257,-0.1477080859058303,0.09258596523217807,0.3031389231793257,-0.1477080859058303,0.09258596523217807,qwen,25.391304347826065,2,3.064420201788686e-06,0.5519848771266536,3.3708622219675547e-05,True
pcs,higher positive correctness correlation is better,appod,H24,24,23,True,0.27068587717453885,-0.14774315266017438,0.09238859876130082,0.27068587717453885,-0.14774315266017438,0.09238859876130082,qwen,23.739130434782624,2,7.000246344958146e-06,0.5160680529300571,7.000246344958146e-05,True
pcs,higher positive correctness correlation is better,appod,H26,26,24,True,0.23545944556410586,0.07810013522356166,0.12516571068970755,0.23545944556410586,0.07810013522356166,0.12516571068970755,qwen,3.25,2,0.19691167520419406,0.06770833333333333,0.36695905887362223,False
pcs,higher positive correctness correlation is better,appod,H28,28,23,True,0.23864045981248766,0.12717735526727847,0.13695496712164557,0.23864045981248766,0.12717735526727847,0.13695496712164557,qwen,3.3913043478260647,2,0.18347952943681112,0.07372400756143618,0.36695905887362223,False
pcs,higher positive correctness correlation is better,appod,H30,30,23,True,0.19749068497846156,0.07850447924956735,0.13522517798433922,0.19749068497846156,0.07850447924956735,0.13522517798433922,qwen,6.608695652173878,2,0.03672315391132588,0.14366729678638865,0.11016946173397762,False
pcs,higher positive correctness correlation is better,appod,H32,32,23,True,0.22805579260310904,0.02903942802918286,0.14379443658949675,0.22805579260310904,0.02903942802918286,0.14379443658949675,qwen,8.956521739130437,2,0.011353140587731987,0.19470699432892255,0.04541256235092795,True
deep_gini,more negative correctness correlation is better,appfr,H02,2,23,True,-0.23374676563824304,0.03964635408022514,0.027474900904851225,0.23374676563824304,-0.03964635408022514,-0.027474900904851225,qwen,21.913043478260875,2,1.7443879093496283e-05,0.47637051039697553,0.00013955103274797026,True
deep_gini,more negative correctness correlation is better,appfr,H04,4,22,True,-0.27478316816341714,0.05060809540885903,-0.10563948744170443,0.27478316816341714,-0.05060809540885903,0.10563948744170443,qwen,25.363636363636374,2,3.1071079568747067e-06,0.5764462809917358,3.417818752562177e-05,True
deep_gini,more negative correctness correlation is better,appfr,H06,6,20,True,-0.26456911033016894,0.08376464346105789,-0.12168255863366159,0.26456911033016894,-0.08376464346105789,0.12168255863366159,qwen,27.900000000000034,2,8.741621082001446e-07,0.6975000000000009,1.2238269514802024e-05,True
